<NUMBER OF ZONES> 24											
<NUMBER OF NODES> 24											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 76											
<END OF METADATA>											


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
1	2	25900.20064000	6	6	0.15	4	0	0	1	; 
1	3	23403.47319000	4	4	0.15	4	0	0	1	; 
2	1	25900.20064000	6	6	0.15	4	0	0	1	; 
2	6	4958.18092800	5	5	0.15	4	0	0	1	; 
3	1	23403.47319000	4	4	0.15	4	0	0	1	; 
3	4	17110.52372000	4	4	0.15	4	0	0	1	; 
3	12	23403.47319000	4	4	0.15	4	0	0	1	; 
4	3	17110.52372000	4	4	0.15	4	0	0	1	; 
4	5	17782.79410000	2	2	0.15	4	0	0	1	; 
4	11	4908.82673000	6	6	0.15	4	0	0	1	; 
5	4	17782.79410000	2	2	0.15	4	0	0	1	; 
5	6	4947.99546900	4	4	0.15	4	0	0	1	; 
5	9	10000.00000000	5	5	0.15	4	0	0	1	; 
6	2	4958.18092800	5	5	0.15	4	0	0	1	; 
6	5	4947.99546900	4	4	0.15	4	0	0	1	; 
6	8	4898.58764600	2	2	0.15	4	0	0	1	; 
7	8	7841.81131000	3	3	0.15	4	0	0	1	; 
7	18	23403.47319000	2	2	0.15	4	0	0	1	; 
8	6	4898.58764600	2	2	0.15	4	0	0	1	; 
8	7	7841.81131000	3	3	0.15	4	0	0	1	; 
8	9	5050.19315600	10	10	0.15	4	0	0	1	; 
8	16	5045.82258300	5	5	0.15	4	0	0	1	; 
9	5	10000.00000000	5	5	0.15	4	0	0	1	; 
9	8	5050.19315600	10	10	0.15	4	0	0	1	; 
9	10	13915.78842000	3	3	0.15	4	0	0	1	; 
10	9	13915.78842000	3	3	0.15	4	0	0	1	; 
10	11	10000.00000000	5	5	0.15	4	0	0	1	; 
10	15	13512.00155000	6	6	0.15	4	0	0	1	; 
10	16	4854.91771700	4	4	0.15	4	0	0	1	; 
10	17	4993.51069400	8	8	0.15	4	0	0	1	; 
11	4	4908.82673000	6	6	0.15	4	0	0	1	; 
11	10	10000.00000000	5	5	0.15	4	0	0	1	; 
11	12	4908.82673000	6	6	0.15	4	0	0	1	; 
11	14	4876.50828700	4	9999	0.15	4	0	0	1	; 
12	3	23403.47319000	4	4	0.15	4	0	0	1	; 
12	11	4908.82673000	6	6	0.15	4	0	0	1	; 
12	13	25900.20064000	3	3	0.15	4	0	0	1	; 
13	12	25900.20064000	3	3	0.15	4	0	0	1	; 
13	24	5091.25615200	4	4	0.15	4	0	0	1	; 
14	11	4876.50828700	4	9999	0.15	4	0	0	1	; 
14	15	5127.52611900	5	5	0.15	4	0	0	1	; 
14	23	4924.79060500	4	4	0.15	4	0	0	1	; 
15	10	13512.00155000	6	6	0.15	4	0	0	1	; 
15	14	5127.52611900	5	5	0.15	4	0	0	1	; 
15	19	14564.75315000	3	3	0.15	4	0	0	1	; 
15	22	9599.18056500	3	3	0.15	4	0	0	1	; 
16	8	5045.82258300	5	5	0.15	4	0	0	1	; 
16	10	4854.91771700	4	4	0.15	4	0	0	1	; 
16	17	5229.91006300	2	2	0.15	4	0	0	1	; 
16	18	19679.89671000	3	3	0.15	4	0	0	1	; 
17	10	4993.51069400	8	8	0.15	4	0	0	1	; 
17	16	5229.91006300	2	2	0.15	4	0	0	1	; 
17	19	4823.95083100	2	2	0.15	4	0	0	1	; 
18	7	23403.47319000	2	2	0.15	4	0	0	1	; 
18	16	19679.89671000	3	3	0.15	4	0	0	1	; 
18	20	23403.47319000	4	4	0.15	4	0	0	1	; 
19	15	14564.75315000	3	3	0.15	4	0	0	1	; 
19	17	4823.95083100	2	2	0.15	4	0	0	1	; 
19	20	5002.60756300	4	4	0.15	4	0	0	1	; 
20	18	23403.47319000	4	4	0.15	4	0	0	1	; 
20	19	5002.60756300	4	4	0.15	4	0	0	1	; 
20	21	5059.91234000	6	6	0.15	4	0	0	1	; 
20	22	5075.69719300	5	5	0.15	4	0	0	1	; 
21	20	5059.91234000	6	6	0.15	4	0	0	1	; 
21	22	5229.91006300	2	2	0.15	4	0	0	1	; 
21	24	4885.35756400	3	3	0.15	4	0	0	1	; 
22	15	9599.18056500	3	3	0.15	4	0	0	1	; 
22	20	5075.69719300	5	5	0.15	4	0	0	1	; 
22	21	5229.91006300	2	2	0.15	4	0	0	1	; 
22	23	5000.00000000	4	4	0.15	4	0	0	1	; 
23	14	4924.79060500	4	4	0.15	4	0	0	1	; 
23	22	5000.00000000	4	4	0.15	4	0	0	1	; 
23	24	5078.50843600	2	2	0.15	4	0	0	1	; 
24	13	5091.25615200	4	4	0.15	4	0	0	1	; 
24	21	4885.35756400	3	3	0.15	4	0	0	1	; 
24	23	5078.50843600	2	2	0.15	4	0	0	1	; 
